순위,가수이름,노래이름
1,NewJeans,Super Shy
2,(여자)아이들,퀸카 (Queencard)
3,IVE (아이브),I AM
4,박재정,헤어지자 말해요
5,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
6,aespa,Spicy
7,Lauv,Steal The Show (From “엘리멘탈”)
8,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
9,IVE (아이브),Kitsch
10,임영웅,사랑은 늘 도망가
11,임영웅,모래 알갱이
12,NewJeans,Hype boy
13,임영웅,우리들의 블루스
14,NewJeans,Ditto
15,임영웅,다시 만날 수 있을까
16,세븐틴 (SEVENTEEN),손오공
17,임영웅,무지개
18,지수 (JISOO),꽃
19,임영웅,이제 나만 믿어요
20,임영웅,London Boy
21,임영웅,Polaroid
22,임영웅,아버지
23,NewJeans,New Jeans
24,NewJeans,OMG
25,FIFTY FIFTY,Cupid
26,임영웅,인생찬가
27,NewJeans,Attention
28,임영웅,A bientot
29,윤하 (YOUNHA),사건의 지평선
30,임영웅,손이 참 곱던 그대
31,임영웅,사랑해 진짜
32,Charlie Puth,I Don't Think That I Like Her
33,임영웅,연애편지
34,Charlie Puth,Dangerously
35,EXO,Cream Soda
36,IVE (아이브),After LIKE
37,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
38,ZEROBASEONE (제로베이스원),In Bloom
39,IVE (아이브),I WANT
40,정국,Still With You
41,임영웅,보금자리
42,DK(디셈버),심(心)
43,허각,물론
44,IVE (아이브),LOVE DIVE
45,방탄소년단,Dynamite
46,임한별,사랑하지 않아서 그랬어
47,(여자)아이들,Allergy
48,STAYC(스테이씨),Teddy Bear
49,탑현,나에게 그대만이
50,방탄소년단,Take Two
51,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
52,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
53,멜로망스,사랑인가 봐
54,지아,사랑..그게 뭔데
55,LE SSERAFIM (르세라핌),ANTIFRAGILE
56,방탄소년단,Butter
57,성시경,너의 모든 순간
58,NCT DREAM,Candy
59,김민석 (멜로망스),예뻤어 (여름날 우리 X 김민석 (멜로망스))
60,Agust D,사람 Pt.2 (feat. 아이유)
61,이무진,잠깐 시간 될까
62,지민,Like Crazy
63,방탄소년단,봄날
64,임재현,Heaven(2023)
65,던 (DAWN),빛이 나는 너에게
66,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
67,케이시 (Kassy),사실말야내가말야그게그러니까말이야
68,방탄소년단,Permission to Dance
69,imase,NIGHT DANCER
70,경서,첫 키스에 내 심장은 120BPM
71,김민석 (멜로망스),취중고백
72,멜로망스,찬란한 하루
73,EXO,Hear Me Out
74,Charlie Puth,That's Hilarious
75,제이세라,사랑의 바보
76,SHINee (샤이니),HARD
77,aespa,Thirsty
78,"The Kid LAROI, Justin Bieber",STAY
79,"Fast & Furious: The Fast Saga, 지민","Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)"
80,#안녕,해요 (2022)
81,(여자)아이들,TOMBOY
82,이채연,KNOCK
83,ZEROBASEONE (제로베이스원),New Kidz on the Block
84,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
85,방탄소년단,The Planet
86,(여자)아이들,Nxde
87,EXO,Let Me In
88,테이,Monologue
89,"경서예지, 전건호",다정히 내 이름을 부르면
90,B.I,겁도 없이 (feat. BIG Naughty)
91,김호중,그중에 그대를 만나
92,10CM,그라데이션
93,NCT DREAM,Broken Melodies
94,V.O.S,안녕이라고 말하지마
95,ZEROBASEONE (제로베이스원),우주먼지 (and I)
96,"j-hope, J. Cole",on the street (with J. Cole)
97,PATEKO (파테코),"Rainy day (Feat. ASH ISLAND, Skinny Brown)"
98,10CM,부동의 첫사랑
99,IVE (아이브),ELEVEN
100,잔나비,주저하는 연인들을 위해
